jo"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","ADP","playerid"
"Max Duval","","0","0","5.82","0","0","0","1.0","1","1","0","1","0","1.50","6.62","3.45","5.90","0.0","0.0","999.0","sa920102"
"Jaison Vilera","","0","0","5.70","0","0","0","1.0","1","1","0","1","0","1.58","6.43","4.30","5.90","0.0","0.0","999.0","sa917752"
"Devin Sweet","Mariners","0","0","5.63","0","0","0","1.0","1","1","0","1","0","1.54","6.86","4.22","5.90","0.0","0.0","999.0","sa3008340"
"Kody Funderburk","Twins","0","0","5.65","0","0","0","1.0","1","1","0","1","1","1.74","5.97","5.68","5.90","0.0","0.0","999.0","sa3007780"
"Cooper Criswell","Angels","0","0","5.85","0","0","0","1.0","1","1","0","1","0","1.62","6.09","4.26","5.90","0.0","0.0","999.0","sa3008606"
"Grant Borne","","0","0","5.74","0","0","0","1.0","1","1","0","1","0","1.64","5.73","4.42","5.90","0.0","0.0","999.0","sa875234"
"Yerry Rodriguez","Rangers","0","0","5.83","0","0","0","1.0","1","1","0","1","1","1.65","6.34","4.75","5.90","0.0","0.0","999.0","sa918130"
"Gregory Santos","Giants","0","0","5.84","0","0","0","1.0","1","1","0","1","1","1.72","5.10","5.01","5.90","0.0","0.0","999.0","sa917162"
"Nicholas Economos","","0","0","5.78","0","0","0","1.0","1","1","0","1","0","1.54","6.65","3.95","5.90","0.0","0.0","999.0","sa875301"
"Justin De Fratus","","0","0","5.67","0","0","0","1.0","1","1","0","1","0","1.46","5.79","2.85","5.90","0.0","0.0","999.0","4955"
"Nathan Bannister","","0","0","5.79","0","0","0","1.0","1","1","0","1","0","1.54","5.67","3.47","5.91","0.0","0.0","999.0","sa857696"
"Jeremy Hellickson","","0","0","5.86","0","0","0","1.0","1","1","0","1","0","1.50","5.92","3.06","5.91","0.0","0.0","999.0","4371"
"Jorge Reyes","","0","0","5.85","0","0","0","1.0","1","1","0","1","0","1.61","5.45","3.98","5.91","0.0","0.0","999.0","sa501947"
"Spencer Adams","","0","0","5.85","0","0","0","1.0","1","1","0","1","0","1.59","5.85","3.90","5.92","0.0","0.0","999.0","sa828687"
"Brandon Gold","","0","0","5.96","0","0","0","1.0","1","1","0","1","0","1.50","5.80","2.78","5.92","0.0","0.0","999.0","sa872724"
"Luis Rijo","Twins","0","0","5.88","0","0","0","1.0","1","1","0","1","0","1.62","5.61","4.15","5.92","0.0","0.0","999.0","sa916950"
"Scott Harkin","","0","0","5.84","0","0","0","1.0","1","1","0","1","0","1.61","5.63","4.10","5.92","0.0","0.0","999.0","sa739706"
"Aaron Ashby","","0","0","5.58","0","0","0","1.0","1","1","0","1","1","1.68","6.54","5.47","5.92","0.0","0.0","999.0","sa3007225"
"Bubba Derby","","0","0","5.71","0","0","0","1.0","1","1","0","1","0","1.52","6.99","4.02","5.92","0.0","0.0","999.0","sa875183"
"Lane Ratliff","","0","0","5.78","0","0","0","1.0","1","1","0","1","1","1.69","5.99","5.02","5.92","0.0","0.0","999.0","sa829005"
"Luis Payan","","0","0","5.85","0","0","0","1.0","1","1","0","1","0","1.65","5.27","4.26","5.92","0.0","0.0","999.0","sa977116"
"Noah Zavolas","Brewers","0","0","5.78","0","0","0","1.0","1","1","0","1","0","1.58","5.45","3.74","5.93","0.0","0.0","999.0","sa3006770"
"Janson Junk","Yankees","0","0","5.80","0","0","0","1.0","1","1","0","1","1","1.63","6.44","4.53","5.93","0.0","0.0","999.0","sa3004659"
"Rafael Kelly","","0","0","5.89","0","0","0","1.0","1","1","0","1","0","1.65","5.46","4.49","5.93","0.0","0.0","999.0","sa3002917"
"Gabriel Garcia","","0","0","5.74","0","0","0","1.0","1","1","0","1","0","1.64","5.69","4.46","5.93","0.0","0.0","999.0","sa504069"
"Graham Spraker","","0","0","5.80","0","0","0","1.0","1","1","0","1","0","1.55","5.87","3.64","5.93","0.0","0.0","999.0","sa3004024"
"Ofreidy Gomez","White Sox","0","0","5.72","0","0","0","1.0","1","1","0","1","0","1.58","6.82","4.39","5.94","0.0","0.0","999.0","sa737451"
"Joe DeMers","Athletics","0","0","5.94","0","0","0","1.0","1","1","0","1","0","1.67","5.02","4.40","5.94","0.0","0.0","999.0","sa3008597"
"Jerad Eickhoff","","0","0","5.82","0","0","0","1.0","1","1","0","1","0","1.50","7.15","3.51","5.94","0.0","0.0","600.5","12664"
"McKenzie Mills","","0","0","5.70","0","0","0","1.0","1","1","0","1","0","1.55","6.78","4.15","5.94","0.0","0.0","999.0","sa829294"
"Raymond Burgos","","0","0","5.71","0","0","0","1.0","1","1","0","1","1","1.70","5.95","5.26","5.94","0.0","0.0","999.0","sa918469"
"Gerson Garabito","","0","0","5.86","0","0","0","1.0","1","1","0","1","1","1.63","6.06","4.68","5.94","0.0","0.0","999.0","sa737361"
"Taylor Hill","","0","0","5.86","0","0","0","1.0","1","1","0","1","0","1.50","5.97","3.08","5.95","0.0","0.0","999.0","12515"
"Nestor Molina","","0","0","5.90","0","0","0","1.0","1","1","0","1","0","1.63","5.24","4.04","5.95","0.0","0.0","999.0","sa503616"
"Dennis O'Grady","","0","0","5.89","0","0","0","1.0","1","1","0","1","0","1.63","5.64","4.27","5.95","0.0","0.0","999.0","sa546796"
"Seth Corry","Giants","0","0","5.68","0","0","0","1.0","1","1","0","1","1","1.76","6.89","6.35","5.95","0.0","0.0","999.0","sa3004648"
"Perry DellaValle","","0","0","5.90","0","0","0","1.0","1","1","0","1","0","1.60","5.84","3.99","5.95","0.0","0.0","999.0","sa3006991"
"Ariel Miranda","","0","0","5.73","0","0","0","1.0","1","1","0","1","0","1.52","7.34","4.02","5.95","0.0","0.0","999.0","17526"
"Brad Markey","","0","0","5.84","0","0","0","1.0","1","1","0","1","0","1.52","6.10","3.36","5.95","0.0","0.0","999.0","sa659004"
"Deivy Florido","Mariners","0","0","5.66","0","0","0","1.0","1","1","0","1","0","1.50","6.07","3.46","5.95","0.0","0.0","999.0","sa3006380"
"Shane McCarthy","Indians","0","0","5.86","0","0","0","1.0","1","1","0","1","1","1.67","6.09","4.87","5.96","0.0","0.0","999.0","sa915740"
"Ryan Weiss","Diamondbacks","0","0","5.98","0","0","0","1.0","1","1","0","1","0","1.64","5.34","4.14","5.96","0.0","0.0","999.0","sa3007778"
"Chris Jensen","","0","0","5.88","0","0","0","1.0","1","1","0","1","0","1.59","6.43","4.22","5.96","0.0","0.0","999.0","sa579619"
"Christian Bergman","","0","0","5.89","0","0","0","1.0","1","1","0","1","0","1.51","5.91","3.03","5.96","0.0","0.0","999.0","10925"
"Mike Wallace","","0","0","5.93","0","0","0","1.0","1","1","0","1","0","1.63","4.83","3.77","5.96","0.0","0.0","999.0","sa857554"
"Justin Lewis","Diamondbacks","0","0","5.91","0","0","0","1.0","1","1","0","1","1","1.65","6.40","4.82","5.96","0.0","0.0","999.0","sa3008577"
"Alfred Gutierrez","","0","0","5.82","0","0","0","1.0","1","1","0","1","0","1.57","7.01","4.45","5.97","0.0","0.0","999.0","sa656043"
"Colin Rodgers","","0","0","5.57","0","0","0","1.0","1","1","0","1","1","1.64","6.23","4.97","5.97","0.0","0.0","999.0","sa657940"
"Scooter Hightower","","0","0","5.93","0","0","0","1.0","1","1","0","1","0","1.52","6.21","3.37","5.97","0.0","0.0","999.0","sa875703"
"Keaton Winn","Giants","0","0","5.91","0","0","0","1.0","1","1","0","1","0","1.67","4.88","4.42","5.97","0.0","0.0","999.0","sa3006968"
"Felix Paulino","","0","0","5.80","0","0","0","1.0","1","1","0","1","0","1.57","6.47","3.98","5.97","0.0","0.0","999.0","sa828972"
"Miller Hogan","Rays","0","0","5.75","0","0","0","1.0","1","1","0","1","0","1.56","6.13","4.10","5.97","0.0","0.0","999.0","sa3007806"
"Marcelo Martinez","Royals","0","0","5.79","0","0","0","1.0","1","1","0","1","0","1.61","5.90","4.41","5.97","0.0","0.0","999.0","sa3005060"
"Leuris Gomez","","0","0","5.93","0","0","0","1.0","1","1","0","1","0","1.57","5.35","3.47","5.98","0.0","0.0","999.0","sa455628"
"Paul Richan","Tigers","0","0","6.01","0","0","0","1.0","1","1","0","1","0","1.57","5.77","3.57","5.98","0.0","0.0","999.0","sa3008025"
"Aaron Shortridge","","0","0","5.98","0","0","0","1.0","1","1","0","1","0","1.59","5.48","3.79","5.98","0.0","0.0","999.0","sa3006759"
"Andres Ivan Meza","","0","0","5.93","0","0","0","1.0","1","1","0","1","0","1.66","4.77","4.12","5.98","0.0","0.0","999.0","sa508496"
"Emilio Marquez","Royals","0","0","5.87","0","0","0","1.0","1","1","0","1","1","1.70","5.98","5.16","5.98","0.0","0.0","999.0","sa3006145"
"Kyle Bradish","","0","0","5.88","0","0","0","1.0","1","1","0","1","1","1.69","7.03","5.44","5.98","0.0","0.0","999.0","sa3008605"
"Evan Steele","Royals","0","0","5.90","0","0","0","1.0","1","1","0","1","1","1.73","5.84","5.42","5.99","0.0","0.0","999.0","sa915636"
"Alex FaGalde","Cardinals","0","0","5.85","0","0","0","1.0","1","1","0","1","0","1.53","6.14","3.59","5.99","0.0","0.0","999.0","sa3004602"
"Wilmer Rios","","0","0","5.91","0","0","0","1.0","1","1","0","1","0","1.61","5.33","3.93","5.99","0.0","0.0","999.0","sa830629"
"Brayan Bello","Red Sox","0","0","6.01","0","0","0","1.0","1","1","0","1","1","1.68","5.62","4.74","5.99","0.0","0.0","999.0","sa3005436"
"Ian Oxnevad","","0","0","5.77","0","0","0","1.0","1","1","0","1","1","1.70","4.51","4.63","5.99","0.0","0.0","999.0","sa875209"
"Matt Cain","","0","0","6.05","0","0","0","1.0","1","1","0","1","0","1.59","5.19","3.52","5.99","0.0","0.0","999.0","4732"
"Brad Case","Pirates","0","0","5.94","0","0","0","1.0","1","1","0","1","0","1.60","5.16","3.78","6.00","0.0","0.0","999.0","sa3007613"
"Raul Carrillo","","0","0","5.90","0","0","0","1.0","1","1","0","1","0","1.67","4.81","4.30","6.00","0.0","0.0","999.0","sa795710"
"Matt Mercer","Diamondbacks","0","0","6.01","0","0","0","1.0","1","1","0","1","1","1.70","6.78","5.41","6.00","0.0","0.0","999.0","sa3007837"
"Tony Dibrell","","0","0","5.75","0","0","0","1.0","1","1","0","1","1","1.59","6.94","4.73","6.00","0.0","0.0","999.0","sa3004657"
"Yoanner Negrin","","0","0","5.89","0","0","0","1.0","1","1","0","1","0","1.61","5.21","3.93","6.01","0.0","0.0","999.0","sa608348"
"Caleb Sampen","Rays","0","0","5.81","0","0","0","1.0","1","1","0","1","1","1.66","5.47","4.79","6.01","0.0","0.0","999.0","sa3007965"
"Francisco Rodriguez","","0","0","5.96","0","0","0","1.0","1","1","0","1","0","1.62","5.28","3.96","6.01","0.0","0.0","999.0","6688"
"Conor Harber","","0","0","5.88","0","0","0","1.0","1","1","0","1","0","1.58","6.50","4.18","6.01","0.0","0.0","999.0","sa738945"
"Mauricio Lara","","0","0","5.86","0","0","0","1.0","1","1","0","1","0","1.64","4.84","3.97","6.01","0.0","0.0","999.0","sa198885"
"Ryan Kussmaul","","0","0","5.98","0","0","0","1.0","1","1","0","1","0","1.61","5.96","4.05","6.01","0.0","0.0","999.0","sa554616"
"Austin Cox","","0","0","5.89","0","0","0","1.0","1","1","0","1","1","1.65","6.10","4.83","6.01","0.0","0.0","999.0","sa3007777"
"Jose Taveras","","0","0","5.89","0","0","0","1.0","1","1","0","1","0","1.53","6.24","3.57","6.02","0.0","0.0","999.0","sa828246"
"Casey Harman","","0","0","5.82","0","0","0","1.0","1","1","0","1","0","1.60","5.49","3.97","6.02","0.0","0.0","999.0","sa549808"
"Pedro Vasquez","","0","0","5.91","0","0","0","1.0","1","1","0","1","0","1.51","6.47","3.51","6.02","0.0","0.0","999.0","sa872824"
"Max Lazar","Brewers","0","0","5.83","0","0","0","1.0","1","1","0","1","1","1.60","6.58","4.51","6.02","0.0","0.0","999.0","sa3005163"
"Tiago Da Silva","","0","0","5.92","0","0","0","1.0","1","1","0","1","0","1.63","5.30","4.09","6.02","0.0","0.0","999.0","sa795086"
"Julian Garcia","Phillies","0","0","5.84","0","0","0","1.0","1","1","0","1","0","1.53","7.05","3.94","6.03","0.0","0.0","999.0","sa918182"
"Kumar Nambiar","","0","0","5.88","0","0","0","1.0","1","1","0","1","1","1.74","6.41","5.79","6.03","0.0","0.0","999.0","sa3010666"
"David Holman","","0","0","6.11","0","0","0","1.0","1","1","0","1","0","1.63","5.56","3.91","6.03","0.0","0.0","999.0","sa503702"
"Blake Rivera","Giants","0","0","5.92","0","0","0","1.0","1","1","0","1","1","1.79","5.89","6.08","6.03","0.0","0.0","999.0","sa3008261"
"Nick Tepesch","","0","0","5.97","0","0","0","1.0","1","1","0","1","0","1.59","4.99","3.48","6.03","0.0","0.0","999.0","11716"
"Luc Rennie","","0","0","5.91","0","0","0","1.0","1","1","0","1","0","1.54","5.99","3.57","6.03","0.0","0.0","999.0","sa658278"
"Eudis Idrogo","","0","0","5.85","0","0","0","1.0","1","1","0","1","0","1.66","5.46","4.47","6.04","0.0","0.0","999.0","sa656048"
"Matt Tabor","Diamondbacks","0","0","6.05","0","0","0","1.0","1","1","0","1","0","1.64","5.81","4.38","6.04","0.0","0.0","999.0","sa3005334"
"Jose Samayoa","","0","0","5.93","0","0","0","1.0","1","1","0","1","0","1.60","5.60","4.05","6.04","0.0","0.0","999.0","sa737921"
"Mitch Stallings","Braves","0","0","5.95","0","0","0","1.0","1","1","0","1","1","1.72","5.33","4.87","6.04","0.0","0.0","999.0","sa3007835"
"Resly Linares","","0","0","5.85","0","0","0","1.0","1","1","0","1","1","1.69","6.37","5.23","6.04","0.0","0.0","999.0","sa873296"
"Ryan Lillie","Reds","0","0","6.01","0","0","0","1.0","1","1","0","1","0","1.56","6.55","3.72","6.05","0.0","0.0","999.0","sa3004740"
"Cody Deason","Astros","0","0","5.92","0","0","0","1.0","1","1","0","1","1","1.67","6.80","5.22","6.05","0.0","0.0","999.0","sa3007958"
"Ruddy Acosta","","0","0","5.98","0","0","0","1.0","1","1","0","1","0","1.65","4.97","4.12","6.05","0.0","0.0","999.0","sa824737"
"Guillermo Moscoso","","0","0","5.95","0","0","0","1.0","1","1","0","1","0","1.55","6.14","3.70","6.05","0.0","0.0","999.0","5106"
"Jose Marte","Giants","0","0","5.94","0","0","0","1.0","1","1","0","1","1","1.75","6.13","5.85","6.06","0.0","0.0","999.0","sa917458"
"Blake Battenfield","","0","0","5.86","0","0","0","1.0","1","1","0","1","0","1.50","6.33","3.27","6.06","0.0","0.0","999.0","sa3002734"
"Alex Eubanks","","0","0","5.94","0","0","0","1.0","1","1","0","1","0","1.67","5.09","4.44","6.06","0.0","0.0","999.0","sa3004663"
"Drew Strotman","Rays","0","0","5.88","0","0","0","1.0","1","1","0","1","1","1.69","5.98","5.21","6.06","0.0","0.0","999.0","sa3004584"
"Brooks Wilson","Braves","0","0","6.04","0","0","0","1.0","1","1","0","1","1","1.67","5.74","4.56","6.06","0.0","0.0","999.0","sa3006966"
"Adam Quintana","","0","0","5.98","0","0","0","1.0","1","1","0","1","1","1.72","6.07","5.33","6.06","0.0","0.0","999.0","sa883461"
"Kyle Tyler","Angels","0","0","5.99","0","0","0","1.0","1","1","0","1","1","1.67","5.91","4.68","6.07","0.0","0.0","999.0","sa3006805"
"Levi Kelly","","0","0","6.06","0","0","0","1.0","1","1","0","1","1","1.72","6.72","5.59","6.07","0.0","0.0","999.0","sa3008500"
"Zack Trageton","","0","0","5.89","0","0","0","1.0","1","1","0","1","0","1.61","5.45","4.24","6.07","0.0","0.0","999.0","sa918087"
"Manuel Santiago","","0","0","5.87","0","0","0","1.0","1","1","0","1","1","1.67","6.01","4.89","6.07","0.0","0.0","999.0","sa3003145"
"Wuilder Rodriguez","","0","0","5.99","0","0","0","1.0","1","1","0","1","0","1.58","6.06","3.94","6.07","0.0","0.0","999.0","sa873731"
"Taylor Varnell","White Sox","0","0","5.75","0","0","0","1.0","1","1","0","1","1","1.62","6.43","4.63","6.07","0.0","0.0","999.0","sa3006806"
"Alex Klonowski","","0","0","5.99","0","0","0","1.0","1","1","0","1","0","1.56","5.63","3.50","6.07","0.0","0.0","999.0","sa829634"
"Matt Withrow","Braves","0","0","6.03","0","0","0","1.0","1","1","0","1","1","1.69","6.41","5.12","6.07","0.0","0.0","999.0","sa659074"
"Trenton Toplikar","Giants","0","0","6.01","0","0","0","1.0","1","1","0","1","1","1.71","5.45","5.06","6.08","0.0","0.0","999.0","sa3007803"
"Chase Cohen","Athletics","0","0","5.98","0","0","0","1.0","1","1","0","1","1","1.79","5.58","5.94","6.08","0.0","0.0","999.0","sa3007477"
"Eli Villalobos","Marlins","0","0","6.00","0","0","0","1.0","1","1","0","1","1","1.71","5.72","5.10","6.08","0.0","0.0","999.0","sa3007997"
"Josh Roberson","","0","0","6.01","0","0","0","1.0","1","1","0","1","1","1.72","5.38","5.05","6.08","0.0","0.0","999.0","sa3007721"
"Tom Cosgrove","Padres","0","0","5.92","0","0","0","1.0","1","1","0","1","1","1.67","5.95","4.84","6.09","0.0","0.0","999.0","sa915675"
"Brett Adcock","","0","0","5.78","0","0","0","1.0","1","1","0","1","1","1.64","7.06","5.25","6.09","0.0","0.0","999.0","sa873691"
"Jake Latz","","0","0","5.89","0","0","0","1.0","1","1","0","1","1","1.68","6.58","5.25","6.09","0.0","0.0","999.0","sa829008"
"Ryan Conroy","Orioles","0","0","5.90","0","0","0","1.0","1","1","0","1","1","1.71","5.12","4.86","6.09","0.0","0.0","999.0","sa3007906"
"Esmerling Vasquez","","0","0","6.05","0","0","0","1.0","1","1","0","1","1","1.65","6.31","4.63","6.09","0.0","0.0","999.0","5280"
"Carlos Felix","","0","0","5.98","0","0","0","1.0","1","1","0","1","1","1.72","4.52","4.59","6.09","0.0","0.0","999.0","sa740138"
"Jonathan Vargas","","0","0","5.97","0","0","0","1.0","1","1","0","1","0","1.66","4.70","4.02","6.09","0.0","0.0","999.0","sa503650"
"Edgardo Sandoval","","0","0","6.00","0","0","0","1.0","1","1","0","1","1","1.69","6.49","5.20","6.09","0.0","0.0","999.0","sa830035"
"Jhony Brito","Yankees","0","0","5.96","0","0","0","1.0","1","1","0","1","0","1.69","5.14","4.47","6.09","0.0","0.0","999.0","sa916962"
"Hector Silvestre","","0","0","5.87","0","0","0","1.0","1","1","0","1","1","1.66","5.76","4.73","6.10","0.0","0.0","999.0","sa599917"
"Tanner Andrews","Marlins","0","0","5.99","0","0","0","1.0","1","1","0","1","1","1.65","5.50","4.50","6.10","0.0","0.0","999.0","sa3007850"
"Omar Cruz","Pirates","0","0","5.94","0","0","0","1.0","1","1","0","1","1","1.75","6.51","5.98","6.10","0.0","0.0","999.0","sa3006971"
"Bryan Hudson","","0","0","5.88","0","0","0","1.0","1","1","0","1","1","1.76","5.19","5.54","6.10","0.0","0.0","999.0","sa874984"
"Nick Bush","Rockies","0","0","6.04","0","0","0","1.0","1","1","0","1","1","1.69","5.38","4.60","6.11","0.0","0.0","999.0","sa3007838"
"Joel Espinal","","0","0","6.07","0","0","0","1.0","1","1","0","1","1","1.68","6.49","5.05","6.11","0.0","0.0","999.0","sa873200"
"Geno Encina","","0","0","6.04","0","0","0","1.0","1","1","0","1","1","1.71","4.74","4.59","6.11","0.0","0.0","999.0","sa875765"
"Alex Royalty","Indians","0","0","6.01","0","0","0","1.0","1","1","0","1","1","1.76","5.48","5.44","6.11","0.0","0.0","999.0","sa3006825"
"Jose Paulino","","0","0","5.92","0","0","0","1.0","1","1","0","1","1","1.69","5.29","4.70","6.11","0.0","0.0","999.0","sa657308"
"Miguel Pena","","0","0","5.89","0","0","0","1.0","1","1","0","1","1","1.68","5.34","4.70","6.11","0.0","0.0","999.0","sa501449"
"Jon Heasley","","0","0","6.11","0","0","0","1.0","1","1","0","1","1","1.72","5.37","5.00","6.11","0.0","0.0","999.0","sa3007211"
"Remey Reed","","0","0","6.03","0","0","0","1.0","1","1","0","1","0","1.65","5.50","4.49","6.12","0.0","0.0","999.0","sa918085"
"Jojanse Torres","","0","0","5.94","0","0","0","1.0","1","1","0","1","1","1.66","6.98","5.22","6.12","0.0","0.0","999.0","sa3006955"
"Nathan Kirby","","0","0","5.81","0","0","0","1.0","1","1","0","1","1","1.75","6.49","6.02","6.12","0.0","0.0","999.0","sa874754"
"David Reyes","","0","0","6.06","0","0","0","1.0","1","1","0","1","0","1.66","5.05","4.18","6.12","0.0","0.0","999.0","sa592948"
"Nick Allgeyer","Blue Jays","0","0","5.99","0","0","0","1.0","1","1","0","1","0","1.63","5.83","4.29","6.13","0.0","0.0","999.0","sa3006698"
"Noe Toribio","Pirates","0","0","6.10","0","0","0","1.0","1","1","0","1","1","1.77","5.35","5.49","6.13","0.0","0.0","999.0","sa3003041"
"William Oliver","","0","0","6.12","0","0","0","1.0","1","1","0","1","0","1.63","5.46","3.99","6.13","0.0","0.0","999.0","sa550026"
"Tyler Thomas","Rangers","0","0","5.96","0","0","0","1.0","1","1","0","1","1","1.66","6.21","4.78","6.13","0.0","0.0","999.0","sa873974"
"Dilmer Mejia","","0","0","5.96","0","0","0","1.0","1","1","0","1","0","1.66","5.47","4.46","6.13","0.0","0.0","999.0","sa828518"
"Angel Acevedo","","0","0","6.01","0","0","0","1.0","1","1","0","1","1","1.70","5.62","5.00","6.13","0.0","0.0","999.0","sa917893"
"Jack Wynkoop","Rockies","0","0","6.11","0","0","0","1.0","1","1","0","1","0","1.54","5.26","2.83","6.13","0.0","0.0","999.0","sa875060"
"Enmanuel Solano","Cardinals","0","0","6.06","0","0","0","1.0","1","1","0","1","1","1.71","4.65","4.59","6.13","0.0","0.0","999.0","sa921578"
"Trevor Clifton","","0","0","6.01","0","0","0","1.0","1","1","0","1","0","1.58","6.79","4.36","6.13","0.0","0.0","999.0","sa737901"
"Alex Sanabia","","0","0","6.05","0","0","0","1.0","1","1","0","1","0","1.62","5.34","3.99","6.14","0.0","0.0","999.0","5350"
"Manny Barreda","","0","0","6.05","0","0","0","1.0","1","1","0","1","1","1.66","5.59","4.51","6.14","0.0","0.0","999.0","sa390658"
"Rafael Pineda","","0","0","6.08","0","0","0","1.0","1","1","0","1","0","1.66","5.50","4.38","6.14","0.0","0.0","999.0","sa658959"
"Drew Harrington","","0","0","5.96","0","0","0","1.0","1","1","0","1","1","1.70","4.98","4.65","6.14","0.0","0.0","999.0","sa857676"
