"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","BsR","Fld","-1","Off","Def","WAR","playerid"
"Edwin Díaz","HOU","96","379","343","60","17","2","11","34","35","29","139","4","1","0","",".175",".246",".332",".578",".253","","0.0","3.4","","-18.1","4.8","0.0","sa738152"
"Welington Castillo","WSN","51","184","171","37","8","0","6","14","26","10","50","2","0","0","",".216",".266",".368",".635",".275","","-0.1","-2.3","","-7.6","1.1","0.0","3256"
"Michael Amditis","CLE","38","135","123","23","7","0","3","15","12","11","35","1","1","0","",".187",".259",".317",".576",".255","","0.1","-0.8","","-6.7","1.7","0.0","sa3010148"
"Drew Stankiewicz","","41","146","131","29","9","1","1","13","9","13","36","0","1","0","",".221",".290",".328",".618",".273","","0.1","0.3","","-6.1","0.8","0.0","sa599531"
"Joey Meneses","","96","388","357","87","17","1","12","44","44","23","86","2","0","0","",".244",".291",".398",".689",".295","","-0.3","0.7","","-9.7","-3.6","0.0","sa604598"
"Jeremy Rivera","","81","306","284","66","11","1","5","29","21","17","69","2","5","2","",".232",".280",".331",".611",".268","","-0.1","-0.3","","-13.9","3.1","0.0","sa829240"
"Jett Bandy","","51","181","165","34","7","0","5","19","17","9","48","5","0","1","",".206",".267",".339",".606",".266","","-0.5","-0.9","","-9.1","2.4","-0.1","12508"
"Quincy McAfee","CIN","89","324","282","60","14","1","6","42","28","29","67","8","4","2","",".213",".301",".333",".635",".283","","-0.3","0.3","","-12.7","1.5","-0.1","sa1159899"
"Mallex Smith","TOR","112","447","405","99","20","7","5","52","33","32","95","7","27","6","",".244",".310",".365",".676",".296","","2.5","-3.9","","-6.9","-8.8","-0.1","13608"
"Ricardo Cubillan","BOS","30","96","84","18","3","1","1","9","5","10","23","1","1","1","",".214",".302",".310",".612",".275","","-0.3","0.0","","-4.1","0.4","-0.1","sa917089"
"Jake Bauers","CIN","121","411","359","83","19","1","12","47","44","47","111","3","8","4","",".231",".324",".390",".714",".312","","-0.4","-0.4","","-6.2","-8.0","-0.1","15194"
"Richie Martin","BAL","75","238","216","47","8","2","4","21","16","15","60","4","5","3","",".218",".280",".329",".608",".269","","-0.4","-0.9","","-10.4","1.7","-0.1","17736"
"Taylor Gushue","","71","266","244","53","12","0","7","29","29","18","78","1","0","0","",".217",".272",".352",".624",".270","","-0.2","-2.4","","-11.9","2.5","-0.1","16098"
"Olivier Basabe","SDP","100","382","348","73","14","2","8","36","32","28","91","4","4","1","",".210",".276",".330",".606",".267","","0.1","0.6","","-15.2","2.0","-0.1","sa3004933"
"Kelvin Melean","SDP","95","364","334","73","16","1","7","44","32","22","74","5","5","3","",".219",".275",".335",".611",".268","","-0.5","0.9","","-14.9","2.2","-0.1","sa917141"
"Wilmer Difo","","113","326","295","70","10","3","4","33","24","27","68","1","3","2","",".237",".302",".332",".634",".279","","-0.5","-1.0","","-11.6","0.2","-0.1","14320"
"Rafael Bautista","","62","210","196","45","8","1","5","23","19","10","40","3","3","1","",".230",".278",".357",".635",".277","","0.0","-0.2","","-8.2","0.6","-0.1","15769"
"Connor Marabell","","105","407","384","100","22","2","8","48","40","17","69","3","4","2","",".260",".296",".391",".686",".296","","-0.3","-2.7","","-7.3","-7.2","-0.1","sa858026"
"Robert Neustrom","BAL","112","460","419","96","24","2","13","55","53","35","111","2","6","2","",".229",".290",".389",".679",".293","","0.0","-1.5","","-9.7","-6.6","-0.1","sa3006667"
"Kekai Rios","LAD","42","143","130","25","5","0","3","15","12","10","44","1","1","0","",".192",".254",".300",".554",".245","","0.1","0.4","","-8.4","3.0","-0.1","sa3007282"
"Juan Martinez","CIN","99","387","353","78","18","2","11","44","40","25","93","5","0","1","",".221",".281",".377",".657",".285","","-0.7","-0.1","","-14.8","1.3","-0.1","sa917056"
"Jonathan Lucroy","","65","223","199","46","8","0","4","21","23","16","37","3","0","0","",".231",".294",".332",".626",".276","","-0.2","-3.0","","-9.2","1.1","-0.1","7870"
"Jake Elmore","","88","322","293","75","15","0","2","33","24","23","49","3","3","4","",".256",".315",".328",".642",".283","","-1.4","-0.4","","-12.1","0.8","-0.1","7290"
"Stephen Vogt","","69","210","189","38","9","1","5","19","23","19","48","0","0","0","",".201",".273",".339",".611",".267","","-0.1","-1.2","","-10.3","2.7","-0.1","5000"
"Scott Kingery","PHI","108","379","348","77","21","2","10","42","32","24","114","3","9","2","",".221",".275",".379",".654",".281","","0.7","-2.1","","-12.5","-0.7","-0.1","17975"
"Evan Skoug","CHW","56","205","183","29","6","1","7","19","20","18","77","2","1","0","",".158",".240",".317",".557",".246","","0.1","0.2","","-11.7","4.0","-0.1","sa829713"
"Ronald Torreyes","PHI","103","347","324","79","12","1","7","34","37","16","41","2","2","1","",".244",".282",".352",".634",".275","","-0.3","0.8","","-14.3","2.1","-0.1","11400"
"Albert Almora Jr.","","112","294","271","61","12","1","7","30","23","16","55","2","2","3","",".225",".271",".354",".626",".269","","-1.1","0.0","","-11.6","1.1","-0.1","14109"
"Will Craig","","96","396","356","79","18","0","14","45","47","30","107","7","1","2","",".222",".293",".390",".683",".295","","-0.9","2.6","","-9.2","-4.7","-0.1","19267"
"Jake Holton","DET","74","308","273","62","12","1","7","40","30","24","69","8","1","1","",".227",".306",".355",".662",".293","","-0.5","1.0","","-6.6","-4.7","-0.1","sa3010599"
"Nick Meyer","NYM","63","240","218","44","7","1","4","23","15","16","58","3","5","2","",".202",".265",".298",".563",".251","","0.0","-1.0","","-12.2","3.4","-0.1","sa3007826"
"Alen Hanson","","58","194","181","39","6","2","4","19","17","10","42","1","4","1","",".215",".259",".337",".596",".259","","0.3","-0.3","","-7.9","0.4","-0.1","12926"
"Aaron Antonini","STL","64","239","206","32","6","0","6","30","20","21","66","10","0","0","",".155",".265",".272",".537",".247","","-0.2","0.5","","-13.7","4.9","-0.1","sa3010906"
"Richard Ureña","WSN","105","389","362","84","19","2","8","41","38","18","98","2","2","2","",".232",".270",".362",".632",".273","","-0.7","2.0","","-17.2","3.4","-0.1","16411"
"Tim Federowicz","","46","159","147","29","6","0","4","13","14","10","44","0","0","0","",".197",".247",".320",".567",".247","","-0.1","0.2","","-9.3","3.1","-0.1","8609"
"Brent Diaz","MIL","60","208","183","33","7","0","5","23","18","17","72","5","2","2","",".180",".266",".301",".566",".254","","-0.6","0.9","","-12.6","4.7","-0.1","sa3004297"
"Weston Wilson","MIL","94","362","327","70","14","2","14","39","41","32","102","2","7","2","",".214",".287",".398",".685",".295","","0.3","1.8","","-8.1","-4.9","-0.1","sa873690"
"Christian Kelley","","61","207","187","37","8","1","4","22","17","16","58","2","0","0","",".198",".267",".316",".582",".256","","-0.1","0.1","","-11.7","3.9","-0.1","sa875583"
"Yasel Antuna","WSN","111","474","437","95","23","1","15","61","57","31","106","2","3","2","",".217",".271",".378",".649",".280","","-0.5","-4.2","","-17.7","1.0","-0.1","sa962601"
"T.J. Rivera","","73","247","223","51","10","0","7","29","28","12","52","3","0","1","",".229",".273",".368",".640",".276","","-0.6","0.2","","-10.3","1.1","-0.1","12495"
"Vinny Capra","TOR","89","347","314","68","15","1","7","38","31","24","95","4","5","2","",".217",".278",".338",".616",".270","","-0.1","0.8","","-14.9","2.1","-0.1","sa3006731"
"Jonah Bride","OAK","90","372","327","71","14","1","8","44","34","32","83","8","1","0","",".217",".300",".339",".639",".284","","-0.1","1.5","","-8.3","-5.3","-0.1","sa3007516"
"Erick Castillo","CHC","53","174","154","34","4","0","2","18","9","11","30","5","0","0","",".221",".291",".286",".576",".261","","-0.2","-0.8","","-9.2","2.4","-0.1","12990"
"Yermín Mercedes","CHW","108","426","391","98","17","1","14","46","54","27","77","3","2","1","",".251",".301",".407",".708",".304","","-0.3","-3.4","","-4.3","-11.2","-0.1","17423"
"Brendan McKay","TBR","36","147","128","26","4","0","4","15","12","16","42","2","0","0","",".203",".299",".328",".627",".281","","-0.1","0.1","","-3.5","-2.6","-0.1","20186"
"Steele Walker","TEX","112","472","431","98","21","2","11","54","47","30","102","5","7","4","",".227",".283",".362",".645",".281","","-0.6","2.1","","-14.0","-3.1","-0.1","sa3008306"
"Brewer Hicklen","KCR","106","418","376","79","14","2","12","50","40","32","140","6","20","5","",".210",".281",".354",".635",".279","","1.6","1.8","","-12.5","-2.8","-0.1","sa3004159"
"Luke Williams","PHI","108","381","339","72","15","2","7","41","31","31","101","4","12","6","",".212",".283",".330",".613",".270","","-0.4","2.3","","-17.4","3.7","-0.1","19931"
"Ehire Adrianza","","89","209","187","45","11","2","4","27","21","17","42","2","1","0","",".241",".308",".385",".693",".299","","0.0","-1.3","","-4.4","-3.6","-0.1","8418"
"Tyler Friis","","51","190","169","36","8","1","2","19","13","18","40","1","5","3","",".213",".291",".308",".599",".268","","-0.4","1.0","","-9.1","1.7","-0.1","sa915593"
"Chris Owings","","89","284","260","58","13","2","8","32","29","21","84","2","7","4","",".223",".285",".381",".666",".288","","-0.5","1.6","","-13.2","2.6","-0.1","10030"
"David Hensley","HOU","103","427","393","90","20","2","7","48","36","30","120","1","6","4","",".229",".284",".344",".628",".274","","-0.8","-2.7","","-14.5","-1.1","-0.1","sa3006733"
"Alex Dunlap","","48","172","155","29","7","0","4","18","15","14","56","2","0","0","",".187",".262",".310",".571",".254","","-0.1","0.1","","-10.1","3.3","-0.1","sa3004878"
"Wilmer Perez","WSN","36","120","110","24","4","0","2","12","9","7","24","1","1","1","",".218",".269",".309",".578",".255","","-0.3","-0.2","","-7.1","2.0","-0.1","sa3002634"
"Caleb Joseph","SEA","59","194","182","37","8","1","4","19","15","8","54","2","0","0","",".203",".244",".324",".568",".247","","-0.1","-1.1","","-10.2","2.5","-0.1","7087"
"Jared Oliva","PIT","98","376","342","74","17","3","4","41","28","26","101","6","14","4","",".216",".283",".319",".601",".266","","0.8","1.1","","-16.1","2.5","-0.1","19968"
"Luis Aviles Jr.","MIA","76","309","282","57","13","1","8","29","27","19","92","2","10","2","",".202",".255",".340",".595",".259","","1.0","-1.3","","-13.5","2.1","-0.1","sa738445"
"John Andreoli","","82","328","286","55","12","1","6","34","24","36","104","2","6","2","",".192",".284",".304",".589",".265","","0.1","0.6","","-13.8","1.8","-0.1","13012"
"Dustin Peterson","MIL","83","335","307","74","15","0","10","39","39","21","68","3","1","1","",".241",".294",".388",".682",".296","","-0.5","-0.4","","-8.2","-4.1","-0.1","15189"
"Humberto Arteaga","","85","326","306","70","12","1","5","29","23","14","65","2","4","2","",".229",".265",".324",".589",".257","","-0.3","2.7","","-18.3","6.3","-0.1","13595"
"Justin Upton","LAA","77","314","278","59","10","0","13","36","39","30","88","3","2","1","",".212",".293",".388",".681",".296","","-0.3","-2.8","","-5.6","-6.3","-0.1","5222"
"Alec Keller","","84","297","275","72","12","1","4","32","24","16","49","2","4","1","",".262",".305",".356",".661",".289","","0.1","0.6","","-8.4","-2.7","-0.1","sa829219"
"Micker Adolfo","CHW","90","371","336","70","17","1","16","42","48","27","141","5","2","2","",".208",".276",".408",".683",".293","","-0.7","-2.2","","-7.6","-6.3","-0.1","sa830303"
"Sam Travis","","92","343","318","75","14","1","9","37","34","22","95","2","3","0","",".236",".289",".371",".660",".287","","0.3","-0.6","","-6.0","-6.9","-0.1","16263"
"Fabian Pena","","39","142","135","27","7","0","5","11","15","5","45","1","1","0","",".200",".232",".363",".595",".254","","0.1","-1.4","","-7.2","1.2","-0.1","sa3007303"
"Drew Avans","LAD","92","321","288","63","12","2","8","38","32","28","92","2","12","3","",".219",".291",".358",".648",".284","","0.9","-0.5","","-7.9","-4.0","-0.1","sa3006937"
"Chris Williams","MIN","57","218","188","29","7","1","6","20","19","26","81","1","1","0","",".154",".258",".298",".556",".250","","0.1","-0.8","","-12.0","3.2","-0.1","sa3007028"
"Seth Gray","MIN","104","461","414","78","13","1","13","56","44","35","144","10","3","1","",".188",".267",".319",".586",".261","","-0.1","2.6","","-21.3","4.3","-0.1","sa1115752"
"Jared Hoying","","104","361","337","78","15","2","11","41","37","20","71","2","8","2","",".231",".277",".386",".663",".284","","0.5","1.0","","-10.7","-3.0","-0.1","10882"
"Orlando Calixte","","60","213","195","42","7","0","4","23","18","13","51","1","7","2","",".215",".265",".313",".578",".254","","0.4","-0.1","","-9.3","0.7","-0.1","11905"
"Andrew Romine","CHC","83","277","259","63","7","2","2","30","18","14","54","2","4","3","",".243",".286",".309",".595",".263","","-0.7","0.8","","-14.4","3.9","-0.1","1159"
"Zach Remillard","CHW","101","397","363","72","11","1","10","39","32","24","119","6","7","3","",".198",".258",".317",".575",".254","","-0.1","1.1","","-20.4","5.5","-0.1","sa659077"
"Patrick Kivlehan","CHW","96","378","344","73","15","2","13","41","44","24","110","5","2","2","",".212",".271",".381",".652",".282","","-0.7","1.7","","-11.4","-2.5","-0.1","13910"
"Mike Rivera","CLE","50","184","166","31","7","0","3","19","15","13","50","2","0","0","",".187",".253",".283",".536",".240","","-0.1","0.8","","-11.9","4.2","-0.1","sa829667"
"Jack Kruger","TEX","68","278","259","58","10","1","4","26","21","15","63","3","2","2","",".224",".273",".317",".590",".259","","-0.6","-2.4","","-13.6","2.7","-0.1","19634"
"Connor Kaiser","PIT","65","254","223","40","8","0","5","25","18","26","73","2","1","1","",".179",".270",".283",".552",".251","","-0.4","2.4","","-15.0","5.2","-0.1","sa3007823"
"Johan Mieses","","95","369","332","70","13","1","14","41","42","27","101","6","2","0","",".211",".281",".383",".663",".288","","0.1","0.6","","-10.5","-3.5","-0.1","sa747574"
"Leobaldo Cabrera","MIN","77","280","247","45","9","1","12","33","36","31","108","0","4","1","",".182",".272",".372",".645",".280","","0.2","0.4","","-8.3","-2.7","-0.1","sa872551"
"Connor Scott","PIT","106","467","439","106","25","4","10","50","41","24","99","2","11","5","",".241",".283",".385",".668",".288","","-0.2","0.8","","-12.6","-4.3","-0.2","sa3008080"
"Will Toffey","SFG","71","252","216","39","9","0","5","28","21","31","98","4","3","1","",".181",".294",".292",".585",".266","","0.0","-0.2","","-10.5","0.7","-0.2","sa829401"
"Stevie Wilkerson","","80","256","233","50","12","1","5","24","18","18","76","3","2","1","",".215",".278",".339",".617",".272","","-0.2","-0.9","","-10.3","0.0","-0.2","16041"
"Grayson Greiner","","64","229","207","41","8","0","4","22","20","19","73","1","0","0","",".198",".268",".295",".562",".251","","-0.2","-1.0","","-12.5","3.2","-0.2","17062"
"Cody Roberts","BAL","49","179","162","32","6","0","4","19","15","14","57","1","0","0","",".198",".263",".309",".571",".253","","-0.1","-1.0","","-10.0","2.3","-0.2","sa3007869"
"Edgar Cabral","","35","134","120","22","4","1","3","14","12","11","42","1","0","0","",".183",".256",".308",".564",".250","","-0.1","-0.2","","-8.3","2.3","-0.2","sa738507"
"Jack Reinheimer","","89","338","306","65","10","1","4","37","22","23","79","3","10","2","",".212",".271",".291",".562",".250","","0.9","-1.1","","-15.7","2.6","-0.2","14938"
"Ryan Boldt","TBR","71","288","262","56","12","2","6","31","27","20","90","3","7","1","",".214",".275",".344",".619",".269","","0.8","0.3","","-8.6","-2.9","-0.2","sa738262"
"Dylan Cozens","","43","152","129","22","5","1","6","17","17","20","63","1","4","2","",".171",".285",".364",".649",".283","","-0.1","0.2","","-5.2","-1.5","-0.2","15115"
"Alfonso Rivas","CHC","97","403","356","86","17","1","6","50","34","40","101","5","1","2","",".242",".325",".346",".671",".298","","-1.0","1.8","","-9.4","-5.6","-0.2","21560"
"Greg Bird","","98","395","348","81","17","1","16","48","51","36","92","3","0","1","",".233",".307",".425",".732",".315","","-0.7","1.9","","-9.4","-5.4","-0.2","14131"
"Chris Rabago","DET","53","186","169","36","8","0","3","20","15","15","47","1","4","2","",".213",".281",".314",".595",".263","","-0.2","1.0","","-12.3","4.4","-0.2","sa829062"
"Jake Suddleson","OAK","95","394","357","76","14","1","10","44","36","26","97","7","1","0","",".213",".278",".342",".620",".273","","-0.1","1.7","","-12.5","-2.6","-0.2","sa3014828"
"Eduardo Torrealba","NYY","82","301","277","65","10","1","6","30","21","17","61","4","5","2","",".235",".288",".343",".631",".277","","-0.1","-3.5","","-9.6","-2.4","-0.2","sa917095"
"Sebastián Elizalde","","32","113","103","22","4","0","2","13","9","9","20","1","3","1","",".214",".283",".311",".594",".265","","0.1","0.0","","-4.3","-1.2","-0.2","sa544568"
"Cheslor Cuthbert","","104","395","362","82","17","1","12","39","46","28","82","4","1","0","",".227",".289",".378",".667",".289","","-0.1","-0.1","","-7.5","-7.4","-0.2","10473"
"Zack Mathis","","84","345","318","67","14","0","9","37","27","21","86","6","2","2","",".211",".272",".340",".612",".268","","-0.7","-0.2","","-14.3","1.1","-0.2","sa3014945"
"Mason Williams","","106","371","341","83","12","1","9","40","35","24","82","1","4","3","",".243",".293",".364",".657",".286","","-0.7","-1.1","","-8.9","-5.2","-0.2","11859"
"Pedro Castellanos","BOS","100","416","383","96","19","1","10","48","41","23","83","6","3","4","",".251",".301",".384",".685",".298","","-1.4","-1.2","","-10.2","-5.8","-0.2","sa917074"
